,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.734142676286764
5,logXiH,15.208974833366206
6,XiE,3.5870394691596097
7,XiH,1.7721679406309256
8,kappa,2.666872084131172
9,q,1.906625022073326
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.5386265844768365
14,muZ,0.0
15,muVtilde,0.0
16,chi,1.3895844087463467
17,sigmaW,6.333471208176778
18,sigmaQ,53.81033192321183
19,sigmaR,53.81033192321183
20,deltaE,28319.669573532738
21,deltaH,5663.933719979362
22,PiH,110.37480054162843
23,PiE,675.2056950908321
24,betaE,53.060552769851675
25,betaH,2.6942946828834984
26,muW,3820.387093513776
27,muQ,29828.689774088933
28,r,18890.764398692852
29,dent,0.00470416065679773
30,Fe,230774.90952984765
31,firstCoefsE,3820.387093513776
32,secondCoefsE,17.981634676838592
33,Fh,20541.549492355112
34,firstCoefsH,3410.140091026581
35,secondCoefsH,17.981634676838592
36,HJB_E,128281.45921779053
37,HJB_H,17362.16851013879
38,kappa_min,280.4412337665403
