,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,18.82206244738354,0.17213287035349012,3.089584433604893,15.291158468042669,0.13813041571444096,2.5138906534080707
logXiH,60.11628866970789,0.48994638822738423,9.16447026664597,48.26002534718856,0.3221256098211649,5.002207663369779
XiE,0.12259460152910048,0.0024793888712517434,18.783565087184922,0.10031660369352229,0.0006285363589361541,14.812527408868531
XiH,0.06313009355954757,0.0018462455757193544,38.734076094821255,0.039260310381575535,0.0004917545250034813,27.5392833163341
kappa,17.794425743120957,0.7395042092152797,203.21998518759642,2.0019962001649603,0.05195759486647472,15.210766006765839
q,0.23210120534505266,0.009645707076720855,0.7811664181851397,0.02611299391519494,0.0006777077591280101,0.05524387820769745
chi,8.599750569898517e-16,1.1102230246251565e-16,2.100581179443857e-14,0.0,0.0,0.0
sigmaR_first_shock,0.016652221785694317,0.0013981398023572775,3.3751230225021946,0.0015533496712998673,3.099784641234088e-05,0.07737551511514666
sigmaR_second_shock,0.0016450921512796187,1.5828475254600005e-05,inf,0.0012957116799839606,1.512908125838273e-05,inf
sigmaR_third_shock,0.04118936633248758,0.001731096324160539,inf,0.005321262968451946,0.00010406334641157336,8633.611075419025
PiH_first_shock,0.8840706853038464,0.03682796269216931,91.50376258344296,0.07687793932817771,0.002417166310317187,3.207472047294931
PiH_second_shock,0.00407617997241958,0.00010031256257768986,inf,0.002160638676915673,2.508633953859724e-05,inf
PiH_third_shock,0.040673538289556284,0.0016079370798641813,inf,0.006963521172914702,0.0002495279447361699,8641.442836607775
PiE_first_shock,5.393878959325891,0.16442207018552013,203.36979626407125,0.2844348578337624,0.010015042348980714,15.275313269705176
PiE_second_shock,0.0026182277753758585,7.0209825333354e-05,inf,0.001559892399860489,2.5325223943799484e-05,inf
PiE_third_shock,0.05829994318061805,0.002850828536065956,inf,0.005968063693970444,0.00012695989119878342,8564.085837136898
r,42.67117681600536,2.1086955595518653,406635.5547509478,1.7151431562912258,0.05811262351633051,56024.443669029846
dent,0.00142970719844215,0.00024832182050611544,4815.153943180586,0.0014032899241746078,0.00024832182050611544,2332.3083351715345
HJB_E,6.816801726113774,0.3384015450800482,inf,2.257330697225504,0.05475147239612102,inf
HJB_H,6.645639224192713,0.5600150258112115,inf,1.5631073144716958,0.03604567516161108,inf
kappa_min,1.665800829048238,0.04351671102152186,inf,0.8723260262892754,0.015009828792070001,inf
