,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,83.54828969220371,0.752393143250055,15.553350253055271,63.850580229723846,0.4994516947303502,7.574055413437349
logXiH,739.4773777967192,5.255376744578459,41.791168966034235,593.5095205391551,3.014603875480649,23.299336296079883
XiE,0.10886425768666871,0.004389510644934934,52.87625365111974,0.0513400440648676,0.0008804569604400068,39.3136685140491
XiH,0.011205257419414546,0.0006587379732245599,19059.365412948082,0.0060021498105329195,6.744818720653094e-05,1938.1015921162561
kappa,6.944583704128145,0.23889394885148252,62.28085214364991,1.9865889226113085,0.059229784993191315,10.86781116668598
q,1.8116305315116938,0.062320160569952154,4.9426334245134464,0.5182405885072988,0.015451248259093164,1.3527923488011213
chi,0.0,0.0,0.0,0.0,0.0,0.0
sigmaR_first_shock,1.728090939887791,0.08671203539381868,61.63537676428429,0.486248851580011,0.020481586859870823,25.038260770323234
sigmaR_second_shock,0.02649545477666325,0.0007081713446328886,inf,0.013893969740405906,0.0004987565291108828,inf
sigmaR_third_shock,0.4518806647337238,0.017050793461910633,inf,0.25448724895573455,0.00879640689789141,inf
PiH_first_shock,20.942272362733977,0.4004524123599446,8978.279612194465,11.51104242076243,0.18229367391658796,769.3239256535543
PiH_second_shock,11.178876075541778,0.1666906784496805,51.00363218654598,8.931325977087557,0.064300592803613,19.674548128772372
PiH_third_shock,39.51737395204932,1.8296285211961554,997.4174254452956,13.296390717754928,0.22224832566795868,83.97465791777233
PiE_first_shock,23.117325759293838,1.3844412177965453,77.60200526863117,1.9961315650678026,0.08302364396034756,17.936537421502013
PiE_second_shock,6.0433801230144075,0.02598744895950529,111.32212255695227,4.95318607670523,0.02216126077984516,94.93192561271704
PiE_third_shock,2.9139404974386283,0.1906205324492908,93932.60028529262,1.0436475780043695,0.0440752242300118,92415.60136709826
r,79.90075991043784,4.552049321760665,432027.13125774264,12.12270601496327,0.29211420942350874,71021.32224682962
dent,0.07333071689986931,0.01679191954787385,20019.804863338482,0.0002181830547768654,6.580752613894748e-05,1241.9239027736419
HJB_E,22.10262659515058,1.6257937267648304,inf,8.026774799042343,0.12320339666507184,inf
HJB_H,20.577840799036,1.5442532518869538,inf,2.5858024659931673,0.09324017506044527,inf
kappa_min,2.390893454332338,0.06553186631942817,inf,1.5884032630601197,0.018064770401304,inf
