,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,11.010955460342096
5,logXiH,0.8099727935502112
6,XiE,0.03107049567454297
7,XiH,1.2791134540175942e-06
8,kappa,7.235852208414512
9,q,0.09438068097931665
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.02552620391005576
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.0
17,sigmaW,0.29875760646130156
18,sigmaQ,0.03749587522023645
19,sigmaR,0.03749587522023645
20,deltaE,1.2390992749176872
21,deltaH,1.239128954346701
22,PiH,1.92496185820998
23,PiE,3.6651263310887527
24,betaE,87.07367911543196
25,betaH,8.891262286251715
26,muW,0.364977021655372
27,muQ,2.6191740315727507
28,r,2.9172183430866196
29,dent,5.38449348492215e-05
30,Fe,16.879088505822132
31,firstCoefsE,0.4433258384185512
32,secondCoefsE,0.00824862393253724
33,Fh,2.9950303859651033
34,firstCoefsH,0.3418603424297727
35,secondCoefsH,0.00824862393253724
36,HJB_E,0.661455523956189
37,HJB_H,0.11742994000079136
38,kappa_min,0.08627589995281029
