,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,1105.2285404499903,4.030934938835226,628.549472298398,911.1712501181904,3.991012965665636,202.37963402522166
logXiH,20.245663802854644,0.32309383677690207,65.77497450756262,16.400977453185533,0.0964730520207544,3.4171958986672273
XiE,960.1047354154588,13.444749968102197,5531.353635475303,654.2232172552082,5.496035599520647,5310.967285252373
XiH,2.4435875583918594,0.16325034820948586,27.609407781782142,0.7756267122912679,0.007264684605548494,10.127990347593714
kappa,3.3853101227557985,0.1294715616239125,15.696126892981002,0.42611153209102415,0.017455023291265137,1.7455023291265144
q,31.505190473519654,0.2536020446681586,21.320549660888428,24.710711803531694,0.22667656929058877,18.748086199891205
chi,4.969299955603684,0.11496341726064785,55.76047989154238,3.3906113798269573,0.06922344249955042,23.110266938398077
sigmaR_first_shock,0.9383739687361581,0.021139557711923274,32.755225894399295,0.6279372053880381,0.008069455301548123,18.25875374478403
sigmaR_second_shock,0.9659786212360048,0.008514303938168342,99.72776520153126,0.7491668796842147,0.00692273942192293,97.63667719076075
sigmaR_third_shock,0.09553438787183127,0.012258035030083311,262.3827983070987,0.0271029062977138,0.0010728256205863643,149.28841491026375
PiH_first_shock,48.19098416779584,2.786142659353038,190.8698924695115,13.107463297895842,0.16904543506620895,14.03106828601057
PiH_second_shock,35.31260516668729,1.1218400915279243,80.17019547220912,19.63861208053334,0.2979293695666848,54.28110567996014
PiH_third_shock,4.078046894170348,0.22230951472857302,599246.8360648166,1.9312388730317425,0.04892618521635272,599246.8360648166
PiE_first_shock,4.256773338729147,0.24157803259438038,4376331.432366221,0.5554539956288086,0.005810637889469922,4376331.432366221
PiE_second_shock,5.771522094356304,0.03596963291832381,1455382.4700639371,4.850947538334039,0.021235666176195586,618.0036620917128
PiE_third_shock,1.1524362794789713,0.16484799336509973,8089936.004396787,0.3062752163192516,0.0027659214883246643,8089936.004396787
r,41.96970370484384,2.1724241512434137,658645.38052862,1.1522350089363202,0.02174615094933799,206577.49030303265
dent,0.05235409397312256,0.00558573780110026,18134359.55821125,0.05235383220630951,0.00558573780110026,3617015.5178286964
HJB_E,27.684935317825982,1.4274706745566568,inf,13.607294146269822,0.13998622777643702,inf
HJB_H,6.563062388537643,0.7353763945020043,inf,2.002498641478343,0.04048910723935282,inf
kappa_min,1.6329031968084224,0.06004095092198664,inf,0.6667038828548597,0.021129287111471863,inf
