,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,15.91465965175846
5,logXiH,9.826290982321206
6,XiE,0.0001680698324575018
7,XiH,1.958668122235636e-08
8,kappa,0.8453304846614365
9,q,0.22052099599863573
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.06693091323312184
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.0
17,sigmaW,0.435260840957716
18,sigmaQ,0.7140133327424167
19,sigmaR,0.7140133327424167
20,deltaE,1.9811717685792885
21,deltaH,1.984129802938
22,PiH,1.8041775927030004
23,PiE,6.530613221522065
24,betaE,46.82562825394017
25,betaH,1.0934717055415328
26,muW,0.6275302302359234
27,muQ,77.18020594799307
28,r,77.60555685349806
29,dent,0.0006652503123445401
30,Fe,77.27723228053407
31,firstCoefsE,0.6275302302359236
32,secondCoefsE,0.03722946989942991
33,Fh,77.62034779773957
34,firstCoefsH,0.5545979628254867
35,secondCoefsH,0.03722946989942991
36,HJB_E,11.327606573937313
37,HJB_H,16.8918223878323
38,kappa_min,0.1041001238201089
