,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,20.178875469473727,0.3119740745186128,2.653633294395285,14.679654675756884,0.1534259345215201,1.2066448467873347
logXiH,136.59195873239725,2.7021668037203277,20.624505957089283,78.7878916277343,0.8114446928108432,6.463231339748271
XiE,9.870223776615502e-05,2.8697549641264804e-06,36.61192752705267,6.767575260612116e-05,8.806640680467981e-07,14.223570743107864
XiH,0.0006490110416251674,4.275947643228296e-05,1391.200813863022,0.0002165693298949043,2.6301474332507807e-06,55.57841530107217
kappa,27.686108912560343,0.8469765511952206,348.1945827096257,2.9698230857492662,0.05829016504351575,25.80681329950026
q,1.4444926389161927,0.04419008093192467,3.5047305566698874,0.15494729143039643,0.003041226002270525,0.2458165480656755
chi,0.0,0.0,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.12760393503402795,0.008227642209539948,17.057228325102766,0.0049719097153719735,9.830996084149446e-05,0.24531811390272507
sigmaR_second_shock,0.007328032618971272,4.177651088214946e-05,inf,0.006193077439256738,4.1416576664074834e-05,inf
sigmaR_third_shock,0.2610541553549115,0.008245414084023406,19340.38822648281,0.037216417654506104,0.0008216276368293836,3423.3014309080518
PiH_first_shock,5.816348036697496,0.20736215883030065,1.8858140298258464e+17,0.5029807922657734,0.01668921782591437,42.24265395885316
PiH_second_shock,0.0073560140515141256,4.158902546647677e-05,inf,0.00613806581418475,4.120541658678142e-05,inf
PiH_third_shock,0.23438581876730188,0.007812919531410945,982399870640639.2,0.03473345744057438,0.0007548871280068027,4819.486391063367
PiE_first_shock,8.344533100408983,0.3308595048036442,348.57488096694004,0.3470897728101234,0.011025921919748265,25.86889021524929
PiE_second_shock,0.007917639239874952,0.00010399415160318155,inf,0.00631802611695221,4.334944753951172e-05,inf
PiE_third_shock,0.32624714531569576,0.010723657852868032,21539.537404066297,0.03990930233470508,0.0008962861229003279,3336.137854533777
r,77.99131668990934,3.5998163301479877,311307.8532313333,5.062815904761179,0.15968004108170142,166593.24395977787
dent,0.1481337887143849,0.03713501845726398,3.7219822811260733e+18,0.14813305612947456,0.03713501845726398,3.6931860536097464e+18
HJB_E,5.498311826978645,0.35667556230161135,inf,1.6218648734795937,0.03329667935707292,inf
HJB_H,13.387676258830265,0.9674141366245594,inf,6.186059127778887,0.10937161724665084,inf
kappa_min,2.6234578088600493,0.06177492263454332,inf,1.3726843439859358,0.030165320699205425,inf
