,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,5.969658225516452
5,logXiH,3.787020110813853
6,XiE,3.024963600907082e-05
7,XiH,4.128032539347643e-06
8,kappa,1.0537881515624035
9,q,0.27490125692932305
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.07627006104443827
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.0
17,sigmaW,0.47117844874741727
18,sigmaQ,0.8366960753630536
19,sigmaR,0.8366960753630536
20,deltaE,1.9182100586255932
21,deltaH,1.9239073276381853
22,PiH,0.3443271417058273
23,PiE,4.89811157576321
24,betaE,19.960394962934423
25,betaH,2.4424759340063766
26,muW,0.4153520601996096
27,muQ,94.38067435552033
28,r,94.15598494428362
29,dent,0.0016099620284728852
30,Fe,95.89457556115762
31,firstCoefsE,0.41535206019961
32,secondCoefsE,0.024749224782231027
33,Fh,94.16975980062531
34,firstCoefsH,0.41535206019961
35,secondCoefsH,0.024749224782231027
36,HJB_E,12.000368074140415
37,HJB_H,22.17847158469489
38,kappa_min,0.09140085934375679
