,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,37.4924754457796,0.34121679846781316,64.57871749036757,29.18968292447121,0.23511318531786696,7.059762675294746
logXiH,19.746627135673904,0.33504340707155333,32.43490682856922,13.750843652798704,0.09505217302545388,2.9519068540770492
XiE,3.9580277266116726,0.1703637506053408,28.909523156617734,1.6113892767995,0.012908955402190392,26.50519459365795
XiH,2.179912507360113,0.10171020439395106,28.469296370503837,0.4680484667134025,0.005549168592062864,9.067450903137942
kappa,7.706142600389356,0.29177635825832926,60.549711516340174,1.5965851801497981,0.07742566294297037,7.7445670868677565
q,3.0867693465213595,0.03731753870642662,3.1980311772361514,2.523343353374709,0.017269572632377717,1.4690097035231644
chi,1.2376603218297977,0.07370213707123452,29.66667529607328,0.15557385883488437,0.018469440944048787,6.384530861495981
sigmaR_first_shock,0.18618607454525218,0.01140737430628419,20.46749198451845,0.027037647352569964,0.0007815928210985132,1.807600138854133
sigmaR_second_shock,0.0947221570389951,0.0025109933798583995,163753.7083208971,0.057370725709631754,0.0009471748620266214,163753.7083208971
sigmaR_third_shock,0.11722712447979708,0.012949913090173511,922392.0041422715,0.051042835952210736,0.0026342488723261163,615802.2178164196
PiH_first_shock,22.13565158958747,0.8499573186582245,48.98593400717582,2.5935727090088747,0.07504707910426522,7.47215774832521
PiH_second_shock,2.138960486439984,0.07843464887286422,76575.86086438896,1.2048422877446416,0.01486850401057671,16.787265667692854
PiH_third_shock,1.2967153857195666,0.0677798594764669,5081434.220246953,0.7817816248099382,0.013578315177854582,167398.5920145697
PiE_first_shock,4.88101421905591,0.24446897386803346,49.581365967564686,0.14074683861080367,0.01245980597054483,8.929310470126483
PiE_second_shock,0.8188261137446355,0.05730064621714817,163085.7868066184,0.08349814940285714,0.0037942364610021664,163085.7868066184
PiE_third_shock,0.9171365887855965,0.1420413478291521,919988.6566563906,0.1003394555932479,0.008553096525199066,614511.3966208384
r,31.68095976017808,1.6891680987859026,433147.68159718835,1.3176701899119305,0.10526885412394645,433147.68159718835
dent,0.0008099323253706974,0.000104977845013122,772809.9803714736,0.0008099298990241412,0.000104977845013122,74396.86530656251
HJB_E,20.419061414278136,2.347887460330311,inf,2.79947954422987,0.050875627731710185,inf
HJB_H,7.771282910891583,0.5353592353326431,inf,1.8061188476565442,0.04753689254080577,inf
kappa_min,2.8623758750901294,0.11971768222696201,inf,1.6149277304164853,0.02813476405675429,inf
